account_id,user_id,member_number,composite_score,fraud_types,alert_count,evidence_summary,tier
,,,100,multi_identity,11,"Shared IP 162.154.16.178: 7 usernames within 30-min window: [wesbowen@outlook.com, wesbowen, wbowen, username, wbowem] | Shared IP 172.56.85.10: 4 usernames within 30-min window: [jessica, wandaa, nttest, wandaa1] | Shared IP 216.79.19.55: 3 usernames within 30-min window: [joey1bmf99@hotmail.com, joey1bmf99, joeylee388] | Shared IP 24.206.66.52: 3 usernames within 30-min window: [BANNO2JOINT, banno2, bannowanda1] | Shared IP 24.206.72.53: 4 usernames within 30-min window: [SNOOZINGDOG, SNOOZING, beethboy, dogbed] | Shared IP 24.206.77.52: 3 usernames within 30-min window: [gabe2tap2ocal, gabetap2ocal, grant2tap2ocal] | Shared IP 24.206.84.71: 6 usernames within 30-min window: [Bannodemo., bannodemo., Bannodemo, bannodemo, prenner] | Shared IP 24.39.168.26: 3 usernames within 30-min window: [lularoe, iloveroe, ilovemlms] | Shared IP 52.128.112.18: 3 usernames within 30-min window: [mkuczynski, ilovemlms, megkuczynski] | Shared IP 74.200.60.3: 3 usernames within 30-min window: [amelia, baker221, littlejane] | Shared IP 75.85.215.246: 3 usernames within 30-min window: [banno2, bannodemo, oneforall]",CRITICAL
9a994905-a70d-4cf9-82de-051a0bd18658,22502393-1fcc-4217-8f9c-e871804506f5,,85,structuring,4,"Repeating amount $3,575: 4 times in 7-day window, $14,300 total | Repeating amount $3,983: 4 times in 7-day window, $15,932 total | Repeating amount $6,558: 7 times in 7-day window, $45,907 total | Daily sub-$10k structuring: 7 days with daily total > $10k (no single txn > $10k), $94,702 total",CRITICAL
afdb51be-1033-4f66-8e86-e8a7acd2a924,786837b7-a753-4305-b2f0-f3151cddc5bd,,75,structuring,3,"Repeating amount $6,000: 5 times in 7-day window, $30,000 total | Repeating amount $6,422: 3 times in 7-day window, $19,265 total | Daily sub-$10k structuring: 18 days with daily total > $10k (no single txn > $10k), $298,215 total",HIGH
a125b427-04f8-49b8-a9b3-7a0b181f3214,a3c56d82-5dd5-44ae-9c87-632a956dfb6e,,75,structuring,3,"Repeating amount $4,476: 5 times in 7-day window, $22,378 total | Repeating amount $5,083: 4 times in 7-day window, $20,331 total | Daily sub-$10k structuring: 12 days with daily total > $10k (no single txn > $10k), $200,201 total",HIGH
dfd96e7d-e1cc-4ccb-8652-20f9b5ac518a,dfb58c6b-64ea-463c-8f8c-2f70e6b29e3a,,75,structuring,3,"Repeating amount $6,000: 5 times in 7-day window, $30,000 total | Repeating amount $6,422: 3 times in 7-day window, $19,265 total | Daily sub-$10k structuring: 18 days with daily total > $10k (no single txn > $10k), $298,215 total",HIGH
a87652ff-b0a3-4967-8ecd-035faba17135,97ce9e2c-d10b-45d8-a423-7ce48f6ae1c2,,60,structuring,3,"Repeating amount $5,054: 4 times in 7-day window, $20,216 total | Repeating amount $5,688: 4 times in 7-day window, $22,751 total | Daily sub-$10k structuring: 15 days with daily total > $10k (no single txn > $10k), $161,496 total",HIGH
b15216a4-1e8d-4014-9600-a936ff3d86d7,0844d5bb-457d-4297-876e-0d9bfde6642f,,50,structuring,2,"Repeating amount $3,800: 3 times in 7-day window, $11,400 total | Daily sub-$10k structuring: 75 days with daily total > $10k (no single txn > $10k), $923,468 total",HIGH
db97db50-c7f8-11e9-88b3-024201581eec,c87c31b0-c7f8-11e9-8330-0242c87f2824,,50,structuring,2,"Repeating amount $6,569: 3 times in 7-day window, $19,706 total | Daily sub-$10k structuring: 67 days with daily total > $10k (no single txn > $10k), $1,193,208 total",HIGH
00173a2d-887e-4964-9c26-a85d8deb83fc,ef6c0deb-cd9f-492d-8519-7c73763c786c,,50,structuring,2,"Repeating amount $5,000: 3 times in 7-day window, $15,000 total | Daily sub-$10k structuring: 14 days with daily total > $10k (no single txn > $10k), $246,665 total",HIGH
c8a594f6-e380-4aac-bb1f-066a70484c7f,7428acb6-03fe-43c8-879d-c450638daa4d,,50,structuring,2,"Repeating amount $9,600: 3 times in 7-day window, $28,800 total | Daily sub-$10k structuring: 15 days with daily total > $10k (no single txn > $10k), $250,482 total",HIGH
e3256c72-e586-474a-a016-d594f1556043,ef6c0deb-cd9f-492d-8519-7c73763c786c,,50,structuring,2,"Repeating amount $5,000: 3 times in 7-day window, $15,000 total | Daily sub-$10k structuring: 14 days with daily total > $10k (no single txn > $10k), $246,665 total",HIGH
5749e4ff-3916-4044-9366-950508494ee7,786837b7-a753-4305-b2f0-f3151cddc5bd,,50,structuring,2,"Repeating amount $5,000: 16 times in 7-day window, $80,000 total | Daily sub-$10k structuring: 1 days with daily total > $10k (no single txn > $10k), $10,002 total",HIGH
28b943bf-4cb1-40a6-aba3-9220b5068ded,dfb58c6b-64ea-463c-8f8c-2f70e6b29e3a,,50,structuring,2,"Repeating amount $5,000: 16 times in 7-day window, $80,000 total | Daily sub-$10k structuring: 1 days with daily total > $10k (no single txn > $10k), $10,002 total",HIGH
2fa5caaf-2648-4995-9e5c-d618399ff5da,ef6c0deb-cd9f-492d-8519-7c73763c786c,,50,structuring,2,"Repeating amount $5,000: 3 times in 7-day window, $15,000 total | Daily sub-$10k structuring: 14 days with daily total > $10k (no single txn > $10k), $246,665 total",HIGH
f2d57118-2f33-43f4-a2dc-305c4018c528,5e401608-aae0-4532-beb5-c411ea98a1bc,,50,structuring,2,"Repeating amount $6,000: 3 times in 7-day window, $18,000 total | Daily sub-$10k structuring: 5 days with daily total > $10k (no single txn > $10k), $96,000 total",HIGH
ebe12f99-c641-48f8-9e76-eb6faefdd4c1,415a2d40-a9f5-11e7-ba31-02422f6950f7,,50,structuring,2,"Repeating amount $5,000: 3 times in 7-day window, $15,000 total | Daily sub-$10k structuring: 16 days with daily total > $10k (no single txn > $10k), $282,136 total",HIGH
a09d3548-18bb-44ed-8b74-bad15fc596bd,511877b8-c278-4592-b866-e14f07694e61,,50,structuring,2,"Repeating amount $4,604: 5 times in 7-day window, $23,022 total | Daily sub-$10k structuring: 3 days with daily total > $10k (no single txn > $10k), $51,123 total",HIGH
d3a3ad3d-ba23-4f7e-8b58-12e0180d012e,ef6c0deb-cd9f-492d-8519-7c73763c786c,,50,structuring,2,"Repeating amount $5,000: 3 times in 7-day window, $15,000 total | Daily sub-$10k structuring: 14 days with daily total > $10k (no single txn > $10k), $246,665 total",HIGH
f1c8322c-031c-4aef-bcfe-d08ef00e561b,da843428-f3b9-4fc5-9627-0916d0478cce,,45,structuring,3,"Repeating amount $3,912: 3 times in 7-day window, $11,736 total | Repeating amount $7,905: 4 times in 7-day window, $31,620 total | Daily sub-$10k structuring: 1 days with daily total > $10k (no single txn > $10k), $11,091 total",MEDIUM
8e735150-c4e0-11e7-aae5-02422f6950f7,56132610-876d-11e7-938c-02422f6950f7,,40,structuring,1,"Daily sub-$10k structuring: 11 days with daily total > $10k (no single txn > $10k), $144,646 total",MEDIUM
,banno2,,40,account_takeover,1,Rapid-fire failures: 5+ failures within 5 minutes for banno2 | IP velocity: 14 distinct IPs,MEDIUM
5b446ee0-2089-11e8-b601-02422f6950f7,56f67110-ce01-11e7-a9b4-02422f6950f7,,40,structuring,1,"Daily sub-$10k structuring: 7 days with daily total > $10k (no single txn > $10k), $94,864 total",MEDIUM
,3da85285-4eda-4ee3-965c-b46fc12c4fd9,,40,multi_identity,1,"Email base 'brifrost' linked to 19 accounts with 12 different names: [DELETE USER TEST, BRIAN FROST, BRIAN VIEWER, ONE MORE TIME, BRIAN TESTING], usernames: [, retailbrian, brianviewer, frostbrianr4, briantesting] | 14 accounts created within 12 months",MEDIUM
,c8d7bf5d-7e69-4b96-bb81-d8652aac9275,,40,multi_identity,1,"Email base 'ahayworth' linked to 10 accounts with 10 different names: [EMPLOYEE FIFTY, EMPLOYEE THIRTY, TEST USER, EMPLOYEE SIXTY, EMPLOYEE FOURTY], usernames: [, employeenine, employeefive, bannowanda] | 9 accounts created within 12 months",MEDIUM
,c5eab3d9-7101-4abf-be09-717f2b45877c,,40,multi_identity,1,"Email base 'jimsmith' linked to 7 accounts with 6 different names: [PETE DOCTOR, CHARLES BROWN, BRAD BIRD, JIM MORRIS, GRAPHICS GROUP], usernames: [petedoctor, CHUCK1234, graphicsgroup, , DB8UCKSYCWW7] | Multiple domains: [jackhenry.com, symitar.com] | 4 accounts created within 12 months",MEDIUM
,brandygalloway06@yahoo.com,,40,account_takeover,1,"Brute force: 14/14 failed attempts (100% failure rate), 1 distinct IPs | Rapid burst: 5+ failures in 5 min",MEDIUM
cb9e5eca-6d46-4466-9e51-0e8ffef3aaae,4dc8ef0d-c11a-433e-bf15-3989ba556f55,,40,structuring,1,"Exact $7,980 transactions: 277 times, $2,210,460 total, 2024-04-16 to 2025-11-20",MEDIUM
,bannowanda1,,40,account_takeover,1,Rapid-fire failures: 5+ failures within 5 minutes for bannowanda1 | IP velocity: 12 distinct IPs,MEDIUM
6e86aaaa-005c-4df3-958d-a8acb60cd969,fca95013-e365-46d7-b708-f235ed426768,,40,structuring,1,"Exact $7,980 transactions: 253 times, $2,018,940 total, 2024-04-16 to 2025-04-29",MEDIUM
,Bandito21,,40,account_takeover,1,Rapid-fire failures: 5+ failures within 5 minutes for Bandito21 | IP velocity: 8 distinct IPs,MEDIUM
91d99c12-eda6-40e7-9db7-e88d451161da,defc4416-29f5-4fff-8600-32e9f00239b7,,40,structuring,1,"Daily sub-$10k structuring: 12 days with daily total > $10k (no single txn > $10k), $158,671 total",MEDIUM
,6a1ad7aa-6516-4c78-8921-c4c72c3d95b4,,40,multi_identity,1,"Email base 'ktravis' linked to 5 accounts with 4 different names: [SHERLOCK HOLMES, FRANK MCCALLISTER, AMELIA POND, JAMES MORIARTY], usernames: [baker221, unclefrank, john221, amelia, SNOOZING] | Multiple domains: [symitar.com, jackhenry.com]",MEDIUM
,7f6c7415-8ccf-4345-957e-4ee87db72204,,40,multi_identity,1,"Email base 'kwohlschlegel' linked to 22 accounts with 19 different names: [KORAL BASEBALLUSER2, KORAL TEST, KORAL WOHLSCHLEGEL, GABBY LOCAL, GABE LOCAL], usernames: [koralbannobaseballuser2, , gabbylocal, gabetap2local, haultlocal] | Multiple domains: [jhacorp.com, symitar.com, jackhenry.com] | 15 accounts created within 12 months",MEDIUM
